code,age,ageValue
E09000026,age49,3894
E09000026,age50,4116
E09000026,age51,3911
E09000026,age52,3941
E09000026,age53,3867
E09000026,age54,3585
E09000026,age55,3529
E09000026,age56,3701
E09000026,age57,3368
E09000026,age58,3257
E09000026,age59,3152
E09000026,age60,3093
E09000026,age61,3033
E09000026,age62,2779
E09000026,age63,2872
E09000026,age64,2725
E09000027,age16,2322
E09000027,age17,2230
E09000027,age18,1918
E09000027,age19,1379
E09000027,age20,1248
E09000027,age21,1449
E09000027,age22,1749
E09000027,age23,1937
E09000027,age24,1846
E09000027,age25,1866
E09000027,age26,1857
E09000027,age27,2012
E09000027,age28,2044
E09000027,age29,2173
E09000027,age30,2259
E09000027,age31,2403
E09000027,age32,2346
E09000027,age33,2536
E09000027,age34,2553
E09000027,age35,2701
E09000027,age36,2731
E09000027,age37,2847
E09000027,age38,3057
E09000027,age39,3006
E09000027,age40,3230
E09000027,age41,3384
E09000027,age42,3242
E09000027,age43,3242
E09000027,age44,3260
E09000027,age45,3139
E09000027,age46,3317
E09000027,age47,3212
E09000027,age48,3282
E09000027,age49,3298
E09000027,age50,3281
E09000027,age51,3072
E09000027,age52,3006
E09000027,age53,3025
E09000027,age54,3022
E09000027,age55,3027
E09000027,age56,2847
E09000027,age57,2726
E09000027,age58,2621
E09000027,age59,2434
E09000027,age60,2246
E09000027,age61,2112
E09000027,age62,2067
E09000027,age63,1921
E09000027,age64,1902
E09000028,age16,3115
E09000028,age17,2949
E09000028,age18,3333
E09000028,age19,3778
E09000028,age20,3770
E09000028,age21,4636
E09000028,age22,4936
E09000028,age23,5768
E09000028,age24,6368
E09000028,age25,7197
E09000028,age26,7349
E09000028,age27,7897
E09000028,age28,7938
E09000028,age29,7884
E09000028,age30,7592
E09000028,age31,7642
E09000028,age32,7382
E09000028,age33,6531
E09000028,age34,5812
E09000028,age35,5919
E09000028,age36,5456
E09000028,age37,5302
E09000028,age38,4964
E09000028,age39,4894
E09000028,age40,4674
E09000028,age41,4578
E09000028,age42,4350
E09000028,age43,4063
E09000028,age44,4190
E09000028,age45,4184
E09000028,age46,4038
E09000028,age47,3879
E09000028,age48,4061
E09000028,age49,3753
E09000028,age50,3980
E09000028,age51,3945
E09000028,age52,3930
E09000028,age53,3787
E09000028,age54,3916
E09000028,age55,3686
E09000028,age56,3687
E09000028,age57,3560
E09000028,age58,3482
E09000028,age59,3154
E09000028,age60,3112
E09000028,age61,2833
E09000028,age62,2576
E09000028,age63,2378
E09000028,age64,2247
E09000029,age16,2569
E09000029,age17,2506
E09000029,age18,2133
E09000029,age19,1566
E09000029,age20,1602
E09000029,age21,1818
E09000029,age22,1977
E09000029,age23,2282
E09000029,age24,2265
E09000029,age25,2297
E09000029,age26,2426
E09000029,age27,2517
E09000029,age28,2545
E09000029,age29,2688
E09000029,age30,2822
E09000029,age31,2851
E09000029,age32,2951
E09000029,age33,3039
E09000029,age34,3064
E09000029,age35,3175
E09000029,age36,3230
E09000029,age37,3209
E09000029,age38,3511
E09000029,age39,3524
E09000029,age40,3556
E09000029,age41,3637
E09000029,age42,3490
E09000029,age43,3258
E09000029,age44,3185
E09000029,age45,3033
E09000029,age46,3170
E09000029,age47,3012
E09000029,age48,3013
E09000029,age49,3035
E09000029,age50,3031
E09000029,age51,2895
E09000029,age52,2908
E09000029,age53,2906
E09000029,age54,2975
E09000029,age55,2911
E09000029,age56,2938
E09000029,age57,2720
E09000029,age58,2611
E09000029,age59,2415
E09000029,age60,2376
E09000029,age61,2241
E09000029,age62,2128
E09000029,age63,1987
E09000029,age64,1917
E09000030,age16,3365
E09000030,age17,3403
E09000030,age18,3628
E09000030,age19,4689
E09000030,age20,5013
E09000030,age21,5393
E09000030,age22,6066
E09000030,age23,7170
E09000030,age24,8346
E09000030,age25,8667
E09000030,age26,9009
E09000030,age27,8925
E09000030,age28,8785
E09000030,age29,9091
E09000030,age30,9058
E09000030,age31,8519
E09000030,age32,8246
E09000030,age33,7778
E09000030,age34,7103
E09000030,age35,6742
E09000030,age36,6265
E09000030,age37,5907
E09000030,age38,5466
E09000030,age39,5396
E09000030,age40,5177
E09000030,age41,4774
E09000030,age42,4396
E09000030,age43,4148
E09000030,age44,4144
E09000030,age45,3845
E09000030,age46,3732
E09000030,age47,3693
E09000030,age48,3278
E09000030,age49,2993
E09000030,age50,2957
E09000030,age51,2836
E09000030,age52,2833
E09000030,age53,2740
E09000030,age54,2554
E09000030,age55,2301
E09000030,age56,2197
E09000030,age57,2302
E09000030,age58,2093
E09000030,age59,1942
E09000030,age60,1796
E09000030,age61,1830
E09000030,age62,1650
E09000030,age63,1646
E09000030,age64,1522
E09000031,age16,3134
E09000031,age17,3259
E09000031,age18,2868
E09000031,age19,2676
E09000031,age20,2603
E09000031,age21,2836
E09000031,age22,3081
E09000031,age23,3347
E09000031,age24,3706
E09000031,age25,3841
E09000031,age26,4308
E09000031,age27,4493
E09000031,age28,4820
E09000031,age29,5079
E09000031,age30,5555
E09000031,age31,5530
E09000031,age32,5665
E09000031,age33,5905
E09000031,age34,5882
E09000031,age35,5558
E09000031,age36,5539
E09000031,age37,5467
E09000031,age38,5367
E09000031,age39,5154
E09000031,age40,5012
E09000031,age41,4855
E09000031,age42,4540
E09000031,age43,4540
E09000031,age44,4156
E09000031,age45,4223
E09000031,age46,3920
E09000031,age47,3661
E09000031,age48,3793
E09000031,age49,3747
E09000031,age50,3890
E09000031,age51,3615
E09000031,age52,3596
E09000031,age53,3629
E09000031,age54,3401
E09000031,age55,3286
E09000031,age56,3281
E09000031,age57,3223
E09000031,age58,2906
E09000031,age59,2760
E09000031,age60,2762
E09000031,age61,2635
E09000031,age62,2428
E09000031,age63,2179
E09000031,age64,2073
E09000032,age16,2727
E09000032,age17,2662
E09000032,age18,2515
E09000032,age19,2520
E09000032,age20,2715
E09000032,age21,3115
E09000032,age22,4226
E09000032,age23,5875
E09000032,age24,7913
E09000032,age25,9179
E09000032,age26,9749
E09000032,age27,9916
E09000032,age28,9428
E09000032,age29,9387
E09000032,age30,9008
E09000032,age31,7992
E09000032,age32,7608
E09000032,age33,7199
E09000032,age34,6657
E09000032,age35,6390
E09000032,age36,6119
E09000032,age37,5820
E09000032,age38,5570
E09000032,age39,5390
E09000032,age40,5366
E09000032,age41,5145
E09000032,age42,4917
E09000032,age43,4690
E09000032,age44,4470
E09000032,age45,4352
E09000032,age46,4215
E09000032,age47,4156
E09000032,age48,4175
E09000032,age49,3919
E09000032,age50,3958
E09000032,age51,3803
E09000032,age52,3863
E09000032,age53,3650
E09000032,age54,3528
E09000032,age55,3601
E09000032,age56,3361
E09000032,age57,3212
E09000032,age58,3109
E09000032,age59,2941
E09000032,age60,2808
E09000032,age61,2549
E09000032,age62,2350
E09000032,age63,2187
E09000032,age64,2218
E09000033,age16,1857
E09000033,age17,1991
E09000033,age18,2381
E09000033,age19,2669
E09000033,age20,3078
E09000033,age21,3294
E09000033,age22,3790
E09000033,age23,4425
E09000033,age24,4742
E09000033,age25,4645
E09000033,age26,4733
E09000033,age27,4621
E09000033,age28,4663
E09000033,age29,4590
E09000033,age30,4623
E09000033,age31,4339
E09000033,age32,4333
E09000033,age33,3970
E09000033,age34,3650
E09000033,age35,3573
E09000033,age36,3362
E09000033,age37,3027
E09000033,age38,3020
E09000033,age39,3110
E09000033,age40,2788
E09000033,age41,3056
E09000033,age42,2662
E09000033,age43,2735
E09000033,age44,2820
E09000033,age45,2612
E09000033,age46,2726
E09000033,age47,2826
E09000033,age48,2838
E09000033,age49,2753
E09000033,age50,2773
E09000033,age51,2765
E09000033,age52,2933
E09000033,age53,3012
E09000033,age54,2898
E09000033,age55,2719
E09000033,age56,2616
E09000033,age57,2417
E09000033,age58,2393
E09000033,age59,2282
E09000033,age60,2249
E09000033,age61,1998
E09000033,age62,1824
E09000033,age63,1847
E09000033,age64,1662
