code,age,ageValue
E09000007,age16,2195
E09000007,age17,2086
E09000007,age18,3228
E09000007,age19,4299
E09000007,age20,4175
E09000007,age21,3890
E09000007,age22,3801
E09000007,age23,4108
E09000007,age24,4191
E09000007,age25,4301
E09000007,age26,4482
E09000007,age27,4508
E09000007,age28,4366
E09000007,age29,4345
E09000007,age30,4263
E09000007,age31,4396
E09000007,age32,4230
E09000007,age33,3896
E09000007,age34,3756
E09000007,age35,3538
E09000007,age36,3482
E09000007,age37,3274
E09000007,age38,3136
E09000007,age39,3118
E09000007,age40,3066
E09000007,age41,2988
E09000007,age42,2989
E09000007,age43,2733
E09000007,age44,2724
E09000007,age45,2695
E09000007,age46,2806
E09000007,age47,2648
E09000007,age48,2587
E09000007,age49,2624
E09000007,age50,2765
E09000007,age51,2631
E09000007,age52,2690
E09000007,age53,2568
E09000007,age54,2615
E09000007,age55,2623
E09000007,age56,2416
E09000007,age57,2341
E09000007,age58,2211
E09000007,age59,2155
E09000007,age60,2038
E09000007,age61,1904
E09000007,age62,1811
E09000007,age63,1757
E09000007,age64,1632
E09000008,age16,5009
E09000008,age17,4911
E09000008,age18,4109
E09000008,age19,3583
E09000008,age20,3425
E09000008,age21,3923
E09000008,age22,4405
E09000008,age23,4785
E09000008,age24,5082
E09000008,age25,5168
E09000008,age26,5285
E09000008,age27,5486
E09000008,age28,5585
E09000008,age29,6006
E09000008,age30,6291
E09000008,age31,6194
E09000008,age32,6457
E09000008,age33,6323
E09000008,age34,6345
E09000008,age35,6412
E09000008,age36,6086
E09000008,age37,6263
E09000008,age38,6153
E09000008,age39,6238
E09000008,age40,6136
E09000008,age41,5970
E09000008,age42,5761
E09000008,age43,5325
E09000008,age44,5430
E09000008,age45,5431
E09000008,age46,5361
E09000008,age47,4836
E09000008,age48,5090
E09000008,age49,5243
E09000008,age50,5381
E09000008,age51,5271
E09000008,age52,5433
E09000008,age53,5466
E09000008,age54,5562
E09000008,age55,5396
E09000008,age56,5304
E09000008,age57,5344
E09000008,age58,5055
E09000008,age59,4675
E09000008,age60,4555
E09000008,age61,4259
E09000008,age62,4072
E09000008,age63,3817
E09000008,age64,3628
E09000009,age16,4461
E09000009,age17,4251
E09000009,age18,4509
E09000009,age19,4242
E09000009,age20,3792
E09000009,age21,4056
E09000009,age22,4606
E09000009,age23,4967
E09000009,age24,5205
E09000009,age25,5407
E09000009,age26,5679
E09000009,age27,6084
E09000009,age28,5861
E09000009,age29,5868
E09000009,age30,6072
E09000009,age31,6175
E09000009,age32,6113
E09000009,age33,6395
E09000009,age34,6024
E09000009,age35,6298
E09000009,age36,6195
E09000009,age37,6169
E09000009,age38,6067
E09000009,age39,6041
E09000009,age40,6471
E09000009,age41,6212
E09000009,age42,5863
E09000009,age43,5457
E09000009,age44,5661
E09000009,age45,5547
E09000009,age46,5435
E09000009,age47,5243
E09000009,age48,5203
E09000009,age49,4957
E09000009,age50,5100
E09000009,age51,5179
E09000009,age52,4930
E09000009,age53,4984
E09000009,age54,4555
E09000009,age55,4754
E09000009,age56,4615
E09000009,age57,4244
E09000009,age58,4245
E09000009,age59,4075
E09000009,age60,3819
E09000009,age61,3724
E09000009,age62,3583
E09000009,age63,3301
E09000009,age64,3218
E09000010,age16,4694
E09000010,age17,4662
E09000010,age18,4019
