code,category,value,areaName
E09000008,studentEmployeeFT,1190,Croydon
E09000008,studentSelfEmployerPT,49,Croydon
E09000008,studentSelfEmployerFT,36,Croydon
E09000008,studentSelfPT,366,Croydon
E09000008,studentSelfFT,144,Croydon
E09000008,studentJobSeeking,1914,Croydon
E09000008,retired,48038,Croydon
E09000008,student,18293,Croydon
E09000008,care,16421,Croydon
E09000008,sick,11112,Croydon
E09000008,otherInactive,12396,Croydon
E09000009,employeePT,31382,Ealing
E09000009,employeeFT,102137,Ealing
E09000009,selfEmployerPT,1636,Ealing
E09000009,selfEmployerFT,3991,Ealing
E09000009,selfPT,13971,Ealing
E09000009,selfFT,16493,Ealing
E09000009,jobSeeking,12979,Ealing
E09000009,studentEmployeePT,3463,Ealing
E09000009,studentEmployeeFT,1200,Ealing
E09000009,studentSelfEmployerPT,51,Ealing
E09000009,studentSelfEmployerFT,46,Ealing
E09000009,studentSelfPT,491,Ealing
E09000009,studentSelfFT,165,Ealing
E09000009,studentJobSeeking,2286,Ealing
E09000009,retired,37988,Ealing
E09000009,student,21886,Ealing
E09000009,care,21356,Ealing
E09000009,sick,10280,Ealing
E09000009,otherInactive,13570,Ealing
E09000010,employeePT,33680,Enfield
E09000010,employeeFT,74861,Enfield
E09000010,selfEmployerPT,1738,Enfield
E09000010,selfEmployerFT,3818,Enfield
E09000010,selfPT,12106,Enfield
E09000010,selfFT,13146,Enfield
E09000010,jobSeeking,10515,Enfield
E09000010,studentEmployeePT,2849,Enfield
E09000010,studentEmployeeFT,966,Enfield
E09000010,studentSelfEmployerPT,56,Enfield
E09000010,studentSelfEmployerFT,67,Enfield
E09000010,studentSelfPT,390,Enfield
E09000010,studentSelfFT,187,Enfield
E09000010,studentJobSeeking,1636,Enfield
E09000010,retired,40133,Enfield
E09000010,student,18199,Enfield
E09000010,care,18628,Enfield
E09000010,sick,10930,Enfield
E09000010,otherInactive,13277,Enfield
E09000011,employeePT,24263,Greenwich
E09000011,employeeFT,88648,Greenwich
E09000011,selfEmployerPT,893,Greenwich
E09000011,selfEmployerFT,2805,Greenwich
E09000011,selfPT,9156,Greenwich
E09000011,selfFT,12076,Greenwich
E09000011,jobSeeking,10380,Greenwich
E09000011,studentEmployeePT,3054,Greenwich
E09000011,studentEmployeeFT,1313,Greenwich
E09000011,studentSelfEmployerPT,47,Greenwich
E09000011,studentSelfEmployerFT,51,Greenwich
E09000011,studentSelfPT,425,Greenwich
E09000011,studentSelfFT,204,Greenwich
E09000011,studentJobSeeking,1887,Greenwich
E09000011,retired,27139,Greenwich
E09000011,student,14990,Greenwich
E09000011,care,12701,Greenwich
E09000011,sick,9582,Greenwich
E09000011,otherInactive,10135,Greenwich
E09000013,employeePT,12467,Hammersmith and Fulham
E09000013,employeeFT,64081,Hammersmith and Fulham
E09000013,selfEmployerPT,647,Hammersmith and Fulham
E09000013,selfEmployerFT,2193,Hammersmith and Fulham
E09000013,selfPT,7369,Hammersmith and Fulham
E09000013,selfFT,8265,Hammersmith and Fulham
E09000013,jobSeeking,6593,Hammersmith and Fulham
E09000013,studentEmployeePT,1635,Hammersmith and Fulham
E09000013,studentEmployeeFT,850,Hammersmith and Fulham
E09000013,studentSelfEmployerPT,36,Hammersmith and Fulham
E09000013,studentSelfEmployerFT,18,Hammersmith and Fulham
E09000013,studentSelfPT,454,Hammersmith and Fulham
E09000013,studentSelfFT,83,Hammersmith and Fulham
E09000013,studentJobSeeking,1081,Hammersmith and Fulham
E09000013,retired,15466,Hammersmith and Fulham
E09000013,student,13190,Hammersmith and Fulham
E09000013,care,7893,Hammersmith and Fulham
E09000013,sick,5783,Hammersmith and Fulham
E09000013,otherInactive,6528,Hammersmith and Fulham
E09000014,employeePT,25924,Haringey
E09000014,employeeFT,71940,Haringey
E09000014,selfEmployerPT,1184,Haringey
E09000014,selfEmployerFT,2826,Haringey
E09000014,selfPT,13279,Haringey
E09000014,selfFT,14732,Haringey
E09000014,jobSeeking,10496,Haringey
E09000014,studentEmployeePT,2521,Haringey
E09000014,studentEmployeeFT,1149,Haringey
E09000014,studentSelfEmployerPT,36,Haringey
E09000014,studentSelfEmployerFT,39,Haringey
E09000014,studentSelfPT,522,Haringey
E09000014,studentSelfFT,229,Haringey
E09000014,studentJobSeeking,1451,Haringey
E09000014,retired,23057,Haringey
E09000014,student,14742,Haringey
E09000014,care,11751,Haringey
E09000014,sick,9487,Haringey
E09000014,otherInactive,10635,Haringey
E09000015,employeePT,22624,Harrow
E09000015,employeeFT,67908,Harrow
E09000015,selfEmployerPT,1310,Harrow
E09000015,selfEmployerFT,4164,Harrow
E09000015,selfPT,9805,Harrow
E09000015,selfFT,15047,Harrow
E09000015,jobSeeking,7377,Harrow
E09000015,studentEmployeePT,2351,Harrow
E09000015,studentEmployeeFT,983,Harrow
E09000015,studentSelfEmployerPT,50,Harrow
E09000015,studentSelfEmployerFT,57,Harrow
E09000015,studentSelfPT,399,Harrow
E09000015,studentSelfFT,341,Harrow
E09000015,studentJobSeeking,1126,Harrow
E09000015,retired,34632,Harrow
E09000015,student,14225,Harrow
E09000015,care,13544,Harrow
E09000015,sick,5885,Harrow
E09000015,otherInactive,7795,Harrow
E09000016,employeePT,24730,Havering
E09000016,employeeFT,73864,Havering
E09000016,selfEmployerPT,901,Havering
E09000016,selfEmployerFT,2881,Havering
E09000016,selfPT,7595,Havering
E09000016,selfFT,11863,Havering
E09000016,jobSeeking,6687,Havering
E09000016,studentEmployeePT,1771,Havering
