code,hours_worked,hours_workedValue
E09000021,16_30,14343
E09000021,31_48,49806
E09000021,49plus,10707
E09000022,15less,16700
E09000022,16_30,25925
E09000022,31_48,112911
E09000022,49plus,27282
E09000023,15less,16083
E09000023,16_30,28089
E09000023,31_48,94030
E09000023,49plus,17510
E09000024,15less,11570
E09000024,16_30,18726
E09000024,31_48,66670
E09000024,49plus,15099
E09000025,15less,18670
E09000025,16_30,34028
E09000025,31_48,94325
E09000025,49plus,16422
E09000026,15less,16639
E09000026,16_30,28204
E09000026,31_48,81723
E09000026,49plus,15062
E09000027,15less,10880
E09000027,16_30,14990
E09000027,31_48,54047
E09000027,49plus,17648
E09000028,15less,16582
E09000028,16_30,25386
E09000028,31_48,99680
E09000028,49plus,25300
E09000029,15less,10702
E09000029,16_30,18501
E09000029,31_48,64135
E09000029,49plus,10888
E09000030,15less,15607
E09000030,16_30,25230
E09000030,31_48,90675
E09000030,49plus,23880
E09000031,15less,15075
E09000031,16_30,25668
E09000031,31_48,84719
E09000031,49plus,14909
E09000032,15less,15478
E09000032,16_30,23170
E09000032,31_48,115966
E09000032,49plus,35828
E09000033,15less,10669
E09000033,16_30,13969
E09000033,31_48,51876
E09000033,49plus,25228
