code,category,value,areaName
E09000022,admin,12564,Lambeth
E09000022,skilledTrade,9463,Lambeth
E09000022,service,13130,Lambeth
E09000022,sales,8956,Lambeth
E09000022,manual,6187,Lambeth
E09000022,elementary,17104,Lambeth
E09000023,management,20155,Lewisham
E09000023,professional,41888,Lewisham
E09000023,technical,27269,Lewisham
E09000023,admin,11892,Lewisham
E09000023,skilledTrade,10473,Lewisham
E09000023,service,13363,Lewisham
E09000023,sales,9774,Lewisham
E09000023,manual,6369,Lewisham
E09000023,elementary,14530,Lewisham
E09000024,management,17692,Merton
E09000024,professional,29411,Merton
E09000024,technical,16337,Merton
E09000024,admin,9159,Merton
E09000024,skilledTrade,9115,Merton
E09000024,service,8623,Merton
E09000024,sales,7030,Merton
E09000024,manual,5202,Merton
E09000024,elementary,9496,Merton
E09000025,management,15522,Newham
E09000025,professional,32704,Newham
E09000025,technical,19608,Newham
E09000025,admin,12621,Newham
E09000025,skilledTrade,16496,Newham
E09000025,service,14189,Newham
E09000025,sales,14529,Newham
E09000025,manual,11822,Newham
E09000025,elementary,25954,Newham
E09000026,management,18627,Redbridge
E09000026,professional,34456,Redbridge
E09000026,technical,17250,Redbridge
E09000026,admin,14551,Redbridge
E09000026,skilledTrade,12846,Redbridge
E09000026,service,9843,Redbridge
E09000026,sales,10747,Redbridge
E09000026,manual,9229,Redbridge
E09000026,elementary,14078,Redbridge
E09000027,management,23031,Richmond upon Thames
E09000027,professional,30417,Richmond upon Thames
E09000027,technical,17549,Richmond upon Thames
E09000027,admin,6935,Richmond upon Thames
E09000027,skilledTrade,4478,Richmond upon Thames
E09000027,service,5468,Richmond upon Thames
E09000027,sales,3749,Richmond upon Thames
E09000027,manual,2187,Richmond upon Thames
E09000027,elementary,3752,Richmond upon Thames
E09000028,management,23109,Southwark
E09000028,professional,51143,Southwark
E09000028,technical,28878,Southwark
E09000028,admin,11443,Southwark
E09000028,skilledTrade,8030,Southwark
E09000028,service,12816,Southwark
E09000028,sales,8705,Southwark
E09000028,manual,5990,Southwark
E09000028,elementary,16833,Southwark
E09000029,management,14604,Sutton
E09000029,professional,25047,Sutton
E09000029,technical,14218,Sutton
E09000029,admin,11239,Sutton
