code,category,value
E14000532,age64,963
E14000532,age65,1013
E14000532,age66,1018
E14000532,age67,972
E14000532,age68,909
E14000532,age69,903
E14000532,age70,910
E14000532,age71,981
E14000532,age72,960
E14000532,age73,1019
E14000532,age74,983
E14000532,age75,808
E14000532,age76,865
E14000532,age77,826
E14000532,age78,752
E14000532,age79,577
E14000532,age80,603
E14000532,age81,637
E14000532,age82,585
E14000532,age83,544
E14000532,age84,509
E14000532,age85,431
E14000532,age86,415
E14000532,age87,338
E14000532,age88,329
E14000532,age89,263
E14000532,age90,240
E14000532,age91,204
E14000532,age92,170
E14000532,age93,114
E14000532,age94,96
E14000532,age95,75
E14000532,age96,50
E14000532,age97,41
E14000532,age98,16
E14000532,age99,22
E14000532,over100,25
E14000533,under1,824
E14000533,age1,899
E14000533,age2,902
E14000533,age3,932
E14000533,age4,986
E14000533,age5,944
E14000533,age6,933
E14000533,age7,939
E14000533,age8,1021
E14000533,age9,1012
E14000533,age10,1064
E14000533,age11,1021
E14000533,age12,967
E14000533,age13,990
E14000533,age14,968
E14000533,age15,910
E14000533,age16,889
E14000533,age17,844
E14000533,age18,847
E14000533,age19,752
E14000533,age20,773
E14000533,age21,859
E14000533,age22,910
E14000533,age23,962
E14000533,age24,1015
E14000533,age25,1025
E14000533,age26,1094
E14000533,age27,1085
E14000533,age28,1153
E14000533,age29,1197
E14000533,age30,1235
E14000533,age31,1132
E14000533,age32,1116
E14000533,age33,1169
E14000533,age34,1086
E14000533,age35,1040
E14000533,age36,1070
E14000533,age37,1088
E14000533,age38,1053
E14000533,age39,1009
E14000533,age40,1049
E14000533,age41,1119
E14000533,age42,966
E14000533,age43,942
E14000533,age44,978
E14000533,age45,981
E14000533,age46,1108
E14000533,age47,1124
E14000533,age48,1263
E14000533,age49,1386
E14000533,age50,1361
E14000533,age51,1373
E14000533,age52,1451
E14000533,age53,1462
E14000533,age54,1426
E14000533,age55,1396
E14000533,age56,1451
E14000533,age57,1390
E14000533,age58,1401
E14000533,age59,1251
E14000533,age60,1260
E14000533,age61,1174
E14000533,age62,1196
E14000533,age63,1076
E14000533,age64,1160
E14000533,age65,1097
E14000533,age66,1023
E14000533,age67,1126
E14000533,age68,1058
E14000533,age69,1027
E14000533,age70,1049
E14000533,age71,1130
E14000533,age72,1144
E14000533,age73,1212
E14000533,age74,1151
E14000533,age75,876
E14000533,age76,933
E14000533,age77,863
E14000533,age78,789
E14000533,age79,670
E14000533,age80,546
E14000533,age81,526
E14000533,age82,558
E14000533,age83,474
E14000533,age84,406
E14000533,age85,382
E14000533,age86,299
E14000533,age87,283
E14000533,age88,264
E14000533,age89,193
E14000533,age90,175
E14000533,age91,143
E14000533,age92,120
E14000533,age93,98
E14000533,age94,80
E14000533,age95,53
E14000533,age96,46
E14000533,age97,28
E14000533,age98,18
E14000533,age99,7
E14000533,over100,16
E14000534,under1,764
E14000534,age1,827
E14000534,age2,871
E14000534,age3,927
E14000534,age4,1007
E14000534,age5,1030
E14000534,age6,995
E14000534,age7,1095
E14000534,age8,1128
E14000534,age9,1155
