code,occupation,occupationValue
E09000032,admin,13285
E09000032,skilledTrade,7838
E09000032,service,11073
E09000032,sales,8031
E09000032,manual,5178
E09000032,elementary,10011
E09000033,management,22858
E09000033,professional,31136
E09000033,technical,17588
E09000033,admin,6750
E09000033,skilledTrade,3481
E09000033,service,6187
E09000033,sales,5211
E09000033,manual,2781
E09000033,elementary,5750
