boroughs,age,ageValue,occupation,occupationValue
Brent,age40,5375,sales,13423
Brent,age40,5375,manual,12932
Brent,age40,5375,elementary,22027
Brent,age41,5520,management,18700
Brent,age41,5520,professional,31402
Brent,age41,5520,technical,19463
Brent,age41,5520,admin,13311
Brent,age41,5520,skilledTrade,15838
Brent,age41,5520,service,13901
Brent,age41,5520,sales,13423
Brent,age41,5520,manual,12932
Brent,age41,5520,elementary,22027
Brent,age42,4985,management,18700
Brent,age42,4985,professional,31402
Brent,age42,4985,technical,19463
Brent,age42,4985,admin,13311
Brent,age42,4985,skilledTrade,15838
Brent,age42,4985,service,13901
Brent,age42,4985,sales,13423
Brent,age42,4985,manual,12932
Brent,age42,4985,elementary,22027
Brent,age43,4805,management,18700
Brent,age43,4805,professional,31402
Brent,age43,4805,technical,19463
Brent,age43,4805,admin,13311
Brent,age43,4805,skilledTrade,15838
Brent,age43,4805,service,13901
Brent,age43,4805,sales,13423
Brent,age43,4805,manual,12932
Brent,age43,4805,elementary,22027
Brent,age44,4672,management,18700
Brent,age44,4672,professional,31402
Brent,age44,4672,technical,19463
Brent,age44,4672,admin,13311
Brent,age44,4672,skilledTrade,15838
Brent,age44,4672,service,13901
Brent,age44,4672,sales,13423
Brent,age44,4672,manual,12932
Brent,age44,4672,elementary,22027
Brent,age45,4785,management,18700
Brent,age45,4785,professional,31402
Brent,age45,4785,technical,19463
Brent,age45,4785,admin,13311
Brent,age45,4785,skilledTrade,15838
Brent,age45,4785,service,13901
Brent,age45,4785,sales,13423
Brent,age45,4785,manual,12932
Brent,age45,4785,elementary,22027
Brent,age46,4952,management,18700
Brent,age46,4952,professional,31402
Brent,age46,4952,technical,19463
Brent,age46,4952,admin,13311
Brent,age46,4952,skilledTrade,15838
Brent,age46,4952,service,13901
Brent,age46,4952,sales,13423
Brent,age46,4952,manual,12932
Brent,age46,4952,elementary,22027
Brent,age47,4447,management,18700
Brent,age47,4447,professional,31402
Brent,age47,4447,technical,19463
Brent,age47,4447,admin,13311
Brent,age47,4447,skilledTrade,15838
Brent,age47,4447,service,13901
Brent,age47,4447,sales,13423
Brent,age47,4447,manual,12932
Brent,age47,4447,elementary,22027
Brent,age48,4545,management,18700
Brent,age48,4545,professional,31402
Brent,age48,4545,technical,19463
Brent,age48,4545,admin,13311
Brent,age48,4545,skilledTrade,15838
Brent,age48,4545,service,13901
Brent,age48,4545,sales,13423
Brent,age48,4545,manual,12932
Brent,age48,4545,elementary,22027
Brent,age49,4390,management,18700
Brent,age49,4390,professional,31402
Brent,age49,4390,technical,19463
Brent,age49,4390,admin,13311
Brent,age49,4390,skilledTrade,15838
Brent,age49,4390,service,13901
Brent,age49,4390,sales,13423
Brent,age49,4390,manual,12932
Brent,age49,4390,elementary,22027
Brent,age50,4527,management,18700
Brent,age50,4527,professional,31402
Brent,age50,4527,technical,19463
Brent,age50,4527,admin,13311
Brent,age50,4527,skilledTrade,15838
Brent,age50,4527,service,13901
Brent,age50,4527,sales,13423
Brent,age50,4527,manual,12932
Brent,age50,4527,elementary,22027
Brent,age51,4675,management,18700
Brent,age51,4675,professional,31402
Brent,age51,4675,technical,19463
Brent,age51,4675,admin,13311
Brent,age51,4675,skilledTrade,15838
Brent,age51,4675,service,13901
Brent,age51,4675,sales,13423
Brent,age51,4675,manual,12932
Brent,age51,4675,elementary,22027
Brent,age52,4876,management,18700
Brent,age52,4876,professional,31402
Brent,age52,4876,technical,19463
Brent,age52,4876,admin,13311
Brent,age52,4876,skilledTrade,15838
Brent,age52,4876,service,13901
Brent,age52,4876,sales,13423
Brent,age52,4876,manual,12932
Brent,age52,4876,elementary,22027
Brent,age53,4495,management,18700
Brent,age53,4495,professional,31402
Brent,age53,4495,technical,19463
Brent,age53,4495,admin,13311
Brent,age53,4495,skilledTrade,15838
Brent,age53,4495,service,13901
Brent,age53,4495,sales,13423
Brent,age53,4495,manual,12932
Brent,age53,4495,elementary,22027
Brent,age54,4209,management,18700
Brent,age54,4209,professional,31402
Brent,age54,4209,technical,19463
Brent,age54,4209,admin,13311
Brent,age54,4209,skilledTrade,15838
Brent,age54,4209,service,13901
Brent,age54,4209,sales,13423
Brent,age54,4209,manual,12932
Brent,age54,4209,elementary,22027
Brent,age55,4118,management,18700
Brent,age55,4118,professional,31402
Brent,age55,4118,technical,19463
Brent,age55,4118,admin,13311
Brent,age55,4118,skilledTrade,15838
Brent,age55,4118,service,13901
Brent,age55,4118,sales,13423
Brent,age55,4118,manual,12932
Brent,age55,4118,elementary,22027
Brent,age56,4271,management,18700
Brent,age56,4271,professional,31402
Brent,age56,4271,technical,19463
Brent,age56,4271,admin,13311
Brent,age56,4271,skilledTrade,15838
Brent,age56,4271,service,13901
Brent,age56,4271,sales,13423
Brent,age56,4271,manual,12932
Brent,age56,4271,elementary,22027
Brent,age57,3925,management,18700
Brent,age57,3925,professional,31402
Brent,age57,3925,technical,19463
Brent,age57,3925,admin,13311
Brent,age57,3925,skilledTrade,15838
Brent,age57,3925,service,13901
Brent,age57,3925,sales,13423
Brent,age57,3925,manual,12932
Brent,age57,3925,elementary,22027
Brent,age58,3772,management,18700
Brent,age58,3772,professional,31402
Brent,age58,3772,technical,19463
Brent,age58,3772,admin,13311
Brent,age58,3772,skilledTrade,15838
Brent,age58,3772,service,13901
Brent,age58,3772,sales,13423
Brent,age58,3772,manual,12932
Brent,age58,3772,elementary,22027
Brent,age59,3796,management,18700
Brent,age59,3796,professional,31402
Brent,age59,3796,technical,19463
Brent,age59,3796,admin,13311
Brent,age59,3796,skilledTrade,15838
Brent,age59,3796,service,13901
Brent,age59,3796,sales,13423
Brent,age59,3796,manual,12932
Brent,age59,3796,elementary,22027
Brent,age60,3571,management,18700
Brent,age60,3571,professional,31402
Brent,age60,3571,technical,19463
Brent,age60,3571,admin,13311
Brent,age60,3571,skilledTrade,15838
Brent,age60,3571,service,13901
Brent,age60,3571,sales,13423
Brent,age60,3571,manual,12932
Brent,age60,3571,elementary,22027
Brent,age61,3442,management,18700
Brent,age61,3442,professional,31402
Brent,age61,3442,technical,19463
Brent,age61,3442,admin,13311
Brent,age61,3442,skilledTrade,15838
Brent,age61,3442,service,13901
Brent,age61,3442,sales,13423
Brent,age61,3442,manual,12932
Brent,age61,3442,elementary,22027
Brent,age62,3461,management,18700
Brent,age62,3461,professional,31402
Brent,age62,3461,technical,19463
Brent,age62,3461,admin,13311
Brent,age62,3461,skilledTrade,15838
Brent,age62,3461,service,13901
Brent,age62,3461,sales,13423
Brent,age62,3461,manual,12932
Brent,age62,3461,elementary,22027
Brent,age63,3061,management,18700
Brent,age63,3061,professional,31402
Brent,age63,3061,technical,19463
Brent,age63,3061,admin,13311
Brent,age63,3061,skilledTrade,15838
Brent,age63,3061,service,13901
Brent,age63,3061,sales,13423
Brent,age63,3061,manual,12932
Brent,age63,3061,elementary,22027
Brent,age64,2853,management,18700
Brent,age64,2853,professional,31402
Brent,age64,2853,technical,19463
Brent,age64,2853,admin,13311
Brent,age64,2853,skilledTrade,15838
Brent,age64,2853,service,13901
Brent,age64,2853,sales,13423
Brent,age64,2853,manual,12932
Brent,age64,2853,elementary,22027
Bromley,age16,3941,management,27845
Bromley,age16,3941,professional,43321
Bromley,age16,3941,technical,25707
Bromley,age16,3941,admin,17733
Bromley,age16,3941,skilledTrade,12787
Bromley,age16,3941,service,11212
Bromley,age16,3941,sales,8498
Bromley,age16,3941,manual,5867
Bromley,age16,3941,elementary,9152
Bromley,age17,3794,management,27845
Bromley,age17,3794,professional,43321
Bromley,age17,3794,technical,25707
Bromley,age17,3794,admin,17733
Bromley,age17,3794,skilledTrade,12787
Bromley,age17,3794,service,11212
Bromley,age17,3794,sales,8498
Bromley,age17,3794,manual,5867
Bromley,age17,3794,elementary,9152
Bromley,age18,3230,management,27845
Bromley,age18,3230,professional,43321
Bromley,age18,3230,technical,25707
Bromley,age18,3230,admin,17733
Bromley,age18,3230,skilledTrade,12787
Bromley,age18,3230,service,11212
Bromley,age18,3230,sales,8498
Bromley,age18,3230,manual,5867
Bromley,age18,3230,elementary,9152
Bromley,age19,2389,management,27845
Bromley,age19,2389,professional,43321
Bromley,age19,2389,technical,25707
Bromley,age19,2389,admin,17733
Bromley,age19,2389,skilledTrade,12787
Bromley,age19,2389,service,11212
Bromley,age19,2389,sales,8498
Bromley,age19,2389,manual,5867
Bromley,age19,2389,elementary,9152
Bromley,age20,2281,management,27845
Bromley,age20,2281,professional,43321
Bromley,age20,2281,technical,25707
Bromley,age20,2281,admin,17733
Bromley,age20,2281,skilledTrade,12787
Bromley,age20,2281,service,11212
Bromley,age20,2281,sales,8498
Bromley,age20,2281,manual,5867
Bromley,age20,2281,elementary,9152
Bromley,age21,2575,management,27845
Bromley,age21,2575,professional,43321
Bromley,age21,2575,technical,25707
Bromley,age21,2575,admin,17733
Bromley,age21,2575,skilledTrade,12787
Bromley,age21,2575,service,11212
Bromley,age21,2575,sales,8498
Bromley,age21,2575,manual,5867
Bromley,age21,2575,elementary,9152
Bromley,age22,3046,management,27845
Bromley,age22,3046,professional,43321
Bromley,age22,3046,technical,25707
Bromley,age22,3046,admin,17733
Bromley,age22,3046,skilledTrade,12787
Bromley,age22,3046,service,11212
Bromley,age22,3046,sales,8498
Bromley,age22,3046,manual,5867
Bromley,age22,3046,elementary,9152
Bromley,age23,3284,management,27845
Bromley,age23,3284,professional,43321
Bromley,age23,3284,technical,25707
Bromley,age23,3284,admin,17733
Bromley,age23,3284,skilledTrade,12787
Bromley,age23,3284,service,11212
Bromley,age23,3284,sales,8498
Bromley,age23,3284,manual,5867
Bromley,age23,3284,elementary,9152
Bromley,age24,3490,management,27845
Bromley,age24,3490,professional,43321
Bromley,age24,3490,technical,25707
Bromley,age24,3490,admin,17733
Bromley,age24,3490,skilledTrade,12787
Bromley,age24,3490,service,11212
Bromley,age24,3490,sales,8498
Bromley,age24,3490,manual,5867
Bromley,age24,3490,elementary,9152
Bromley,age25,3366,management,27845
Bromley,age25,3366,professional,43321
Bromley,age25,3366,technical,25707
Bromley,age25,3366,admin,17733
Bromley,age25,3366,skilledTrade,12787
Bromley,age25,3366,service,11212
Bromley,age25,3366,sales,8498
Bromley,age25,3366,manual,5867
Bromley,age25,3366,elementary,9152
Bromley,age26,3426,management,27845
Bromley,age26,3426,professional,43321
Bromley,age26,3426,technical,25707
Bromley,age26,3426,admin,17733
Bromley,age26,3426,skilledTrade,12787
Bromley,age26,3426,service,11212
Bromley,age26,3426,sales,8498
Bromley,age26,3426,manual,5867
Bromley,age26,3426,elementary,9152
Bromley,age27,3739,management,27845
Bromley,age27,3739,professional,43321
Bromley,age27,3739,technical,25707
Bromley,age27,3739,admin,17733
Bromley,age27,3739,skilledTrade,12787
Bromley,age27,3739,service,11212
Bromley,age27,3739,sales,8498
Bromley,age27,3739,manual,5867
Bromley,age27,3739,elementary,9152
Bromley,age28,3827,management,27845
Bromley,age28,3827,professional,43321
Bromley,age28,3827,technical,25707
Bromley,age28,3827,admin,17733
Bromley,age28,3827,skilledTrade,12787
Bromley,age28,3827,service,11212
Bromley,age28,3827,sales,8498
Bromley,age28,3827,manual,5867
Bromley,age28,3827,elementary,9152
Bromley,age29,3967,management,27845
Bromley,age29,3967,professional,43321
Bromley,age29,3967,technical,25707
Bromley,age29,3967,admin,17733
Bromley,age29,3967,skilledTrade,12787
Bromley,age29,3967,service,11212
Bromley,age29,3967,sales,8498
Bromley,age29,3967,manual,5867
Bromley,age29,3967,elementary,9152
Bromley,age30,4049,management,27845
Bromley,age30,4049,professional,43321
Bromley,age30,4049,technical,25707
Bromley,age30,4049,admin,17733
Bromley,age30,4049,skilledTrade,12787
Bromley,age30,4049,service,11212
Bromley,age30,4049,sales,8498
Bromley,age30,4049,manual,5867
Bromley,age30,4049,elementary,9152
Bromley,age31,4456,management,27845
Bromley,age31,4456,professional,43321
Bromley,age31,4456,technical,25707
Bromley,age31,4456,admin,17733
Bromley,age31,4456,skilledTrade,12787
Bromley,age31,4456,service,11212
Bromley,age31,4456,sales,8498
Bromley,age31,4456,manual,5867
Bromley,age31,4456,elementary,9152
Bromley,age32,4479,management,27845
Bromley,age32,4479,professional,43321
Bromley,age32,4479,technical,25707
Bromley,age32,4479,admin,17733
Bromley,age32,4479,skilledTrade,12787
Bromley,age32,4479,service,11212
Bromley,age32,4479,sales,8498
Bromley,age32,4479,manual,5867
Bromley,age32,4479,elementary,9152
Bromley,age33,4798,management,27845
Bromley,age33,4798,professional,43321
Bromley,age33,4798,technical,25707
Bromley,age33,4798,admin,17733
Bromley,age33,4798,skilledTrade,12787
Bromley,age33,4798,service,11212
Bromley,age33,4798,sales,8498
Bromley,age33,4798,manual,5867
Bromley,age33,4798,elementary,9152
Bromley,age34,4645,management,27845
Bromley,age34,4645,professional,43321
Bromley,age34,4645,technical,25707
Bromley,age34,4645,admin,17733
Bromley,age34,4645,skilledTrade,12787
Bromley,age34,4645,service,11212
Bromley,age34,4645,sales,8498
Bromley,age34,4645,manual,5867
Bromley,age34,4645,elementary,9152
Bromley,age35,4812,management,27845
Bromley,age35,4812,professional,43321
Bromley,age35,4812,technical,25707
Bromley,age35,4812,admin,17733
Bromley,age35,4812,skilledTrade,12787
Bromley,age35,4812,service,11212
Bromley,age35,4812,sales,8498
Bromley,age35,4812,manual,5867
Bromley,age35,4812,elementary,9152
Bromley,age36,4785,management,27845
Bromley,age36,4785,professional,43321
Bromley,age36,4785,technical,25707
Bromley,age36,4785,admin,17733
Bromley,age36,4785,skilledTrade,12787
Bromley,age36,4785,service,11212
Bromley,age36,4785,sales,8498
Bromley,age36,4785,manual,5867
Bromley,age36,4785,elementary,9152
Bromley,age37,4992,management,27845
Bromley,age37,4992,professional,43321
Bromley,age37,4992,technical,25707
Bromley,age37,4992,admin,17733
Bromley,age37,4992,skilledTrade,12787
Bromley,age37,4992,service,11212
Bromley,age37,4992,sales,8498
Bromley,age37,4992,manual,5867
Bromley,age37,4992,elementary,9152
Bromley,age38,4971,management,27845
Bromley,age38,4971,professional,43321
Bromley,age38,4971,technical,25707
Bromley,age38,4971,admin,17733
Bromley,age38,4971,skilledTrade,12787
Bromley,age38,4971,service,11212
Bromley,age38,4971,sales,8498
Bromley,age38,4971,manual,5867
Bromley,age38,4971,elementary,9152
Bromley,age39,5229,management,27845
Bromley,age39,5229,professional,43321
Bromley,age39,5229,technical,25707
Bromley,age39,5229,admin,17733
Bromley,age39,5229,skilledTrade,12787
Bromley,age39,5229,service,11212
Bromley,age39,5229,sales,8498
Bromley,age39,5229,manual,5867
Bromley,age39,5229,elementary,9152
Bromley,age40,5126,management,27845
Bromley,age40,5126,professional,43321
Bromley,age40,5126,technical,25707
Bromley,age40,5126,admin,17733
Bromley,age40,5126,skilledTrade,12787
Bromley,age40,5126,service,11212
Bromley,age40,5126,sales,8498
Bromley,age40,5126,manual,5867
Bromley,age40,5126,elementary,9152
Bromley,age41,5136,management,27845
Bromley,age41,5136,professional,43321
Bromley,age41,5136,technical,25707
Bromley,age41,5136,admin,17733
Bromley,age41,5136,skilledTrade,12787
Bromley,age41,5136,service,11212
Bromley,age41,5136,sales,8498
Bromley,age41,5136,manual,5867
Bromley,age41,5136,elementary,9152
Bromley,age42,5257,management,27845
Bromley,age42,5257,professional,43321
Bromley,age42,5257,technical,25707
Bromley,age42,5257,admin,17733
Bromley,age42,5257,skilledTrade,12787
Bromley,age42,5257,service,11212
Bromley,age42,5257,sales,8498
Bromley,age42,5257,manual,5867
Bromley,age42,5257,elementary,9152
Bromley,age43,4838,management,27845
Bromley,age43,4838,professional,43321
Bromley,age43,4838,technical,25707
Bromley,age43,4838,admin,17733
Bromley,age43,4838,skilledTrade,12787
Bromley,age43,4838,service,11212
Bromley,age43,4838,sales,8498
Bromley,age43,4838,manual,5867
Bromley,age43,4838,elementary,9152
Bromley,age44,4685,management,27845
Bromley,age44,4685,professional,43321
Bromley,age44,4685,technical,25707
Bromley,age44,4685,admin,17733
Bromley,age44,4685,skilledTrade,12787
Bromley,age44,4685,service,11212
Bromley,age44,4685,sales,8498
Bromley,age44,4685,manual,5867
Bromley,age44,4685,elementary,9152
Bromley,age45,4621,management,27845
Bromley,age45,4621,professional,43321
Bromley,age45,4621,technical,25707
Bromley,age45,4621,admin,17733
Bromley,age45,4621,skilledTrade,12787
Bromley,age45,4621,service,11212
Bromley,age45,4621,sales,8498
Bromley,age45,4621,manual,5867
Bromley,age45,4621,elementary,9152
Bromley,age46,4831,management,27845
Bromley,age46,4831,professional,43321
Bromley,age46,4831,technical,25707
Bromley,age46,4831,admin,17733
Bromley,age46,4831,skilledTrade,12787
Bromley,age46,4831,service,11212
Bromley,age46,4831,sales,8498
Bromley,age46,4831,manual,5867
Bromley,age46,4831,elementary,9152
Bromley,age47,4699,management,27845
Bromley,age47,4699,professional,43321
Bromley,age47,4699,technical,25707
Bromley,age47,4699,admin,17733
Bromley,age47,4699,skilledTrade,12787
Bromley,age47,4699,service,11212
Bromley,age47,4699,sales,8498
Bromley,age47,4699,manual,5867
Bromley,age47,4699,elementary,9152
Bromley,age48,4760,management,27845
Bromley,age48,4760,professional,43321
Bromley,age48,4760,technical,25707
Bromley,age48,4760,admin,17733
Bromley,age48,4760,skilledTrade,12787
Bromley,age48,4760,service,11212
Bromley,age48,4760,sales,8498
Bromley,age48,4760,manual,5867
Bromley,age48,4760,elementary,9152
Bromley,age49,4793,management,27845
Bromley,age49,4793,professional,43321
Bromley,age49,4793,technical,25707
Bromley,age49,4793,admin,17733
Bromley,age49,4793,skilledTrade,12787
Bromley,age49,4793,service,11212
Bromley,age49,4793,sales,8498
Bromley,age49,4793,manual,5867
Bromley,age49,4793,elementary,9152
Bromley,age50,4843,management,27845
Bromley,age50,4843,professional,43321
Bromley,age50,4843,technical,25707
Bromley,age50,4843,admin,17733
Bromley,age50,4843,skilledTrade,12787
Bromley,age50,4843,service,11212
Bromley,age50,4843,sales,8498
Bromley,age50,4843,manual,5867
Bromley,age50,4843,elementary,9152
Bromley,age51,4635,management,27845
Bromley,age51,4635,professional,43321
Bromley,age51,4635,technical,25707
Bromley,age51,4635,admin,17733
Bromley,age51,4635,skilledTrade,12787
Bromley,age51,4635,service,11212
Bromley,age51,4635,sales,8498
Bromley,age51,4635,manual,5867
Bromley,age51,4635,elementary,9152
Bromley,age52,4815,management,27845
Bromley,age52,4815,professional,43321
Bromley,age52,4815,technical,25707
Bromley,age52,4815,admin,17733
Bromley,age52,4815,skilledTrade,12787
Bromley,age52,4815,service,11212
Bromley,age52,4815,sales,8498
Bromley,age52,4815,manual,5867
Bromley,age52,4815,elementary,9152
Bromley,age53,4767,management,27845
Bromley,age53,4767,professional,43321
Bromley,age53,4767,technical,25707
Bromley,age53,4767,admin,17733
Bromley,age53,4767,skilledTrade,12787
Bromley,age53,4767,service,11212
Bromley,age53,4767,sales,8498
Bromley,age53,4767,manual,5867
Bromley,age53,4767,elementary,9152
Bromley,age54,4866,management,27845
Bromley,age54,4866,professional,43321
Bromley,age54,4866,technical,25707
Bromley,age54,4866,admin,17733
Bromley,age54,4866,skilledTrade,12787
Bromley,age54,4866,service,11212
Bromley,age54,4866,sales,8498
Bromley,age54,4866,manual,5867
Bromley,age54,4866,elementary,9152
Bromley,age55,4716,management,27845
Bromley,age55,4716,professional,43321
Bromley,age55,4716,technical,25707
Bromley,age55,4716,admin,17733
Bromley,age55,4716,skilledTrade,12787
Bromley,age55,4716,service,11212
Bromley,age55,4716,sales,8498
Bromley,age55,4716,manual,5867
Bromley,age55,4716,elementary,9152
Bromley,age56,4589,management,27845
Bromley,age56,4589,professional,43321
Bromley,age56,4589,technical,25707
Bromley,age56,4589,admin,17733
Bromley,age56,4589,skilledTrade,12787
Bromley,age56,4589,service,11212
Bromley,age56,4589,sales,8498
Bromley,age56,4589,manual,5867
Bromley,age56,4589,elementary,9152
Bromley,age57,4731,management,27845
Bromley,age57,4731,professional,43321
Bromley,age57,4731,technical,25707
Bromley,age57,4731,admin,17733
Bromley,age57,4731,skilledTrade,12787
Bromley,age57,4731,service,11212
Bromley,age57,4731,sales,8498
Bromley,age57,4731,manual,5867
Bromley,age57,4731,elementary,9152
Bromley,age58,4229,management,27845
Bromley,age58,4229,professional,43321
Bromley,age58,4229,technical,25707
Bromley,age58,4229,admin,17733
Bromley,age58,4229,skilledTrade,12787
Bromley,age58,4229,service,11212
Bromley,age58,4229,sales,8498
Bromley,age58,4229,manual,5867
Bromley,age58,4229,elementary,9152
Bromley,age59,4081,management,27845
Bromley,age59,4081,professional,43321
Bromley,age59,4081,technical,25707
Bromley,age59,4081,admin,17733
Bromley,age59,4081,skilledTrade,12787
Bromley,age59,4081,service,11212
Bromley,age59,4081,sales,8498
Bromley,age59,4081,manual,5867
Bromley,age59,4081,elementary,9152
Bromley,age60,4188,management,27845
Bromley,age60,4188,professional,43321
Bromley,age60,4188,technical,25707
Bromley,age60,4188,admin,17733
Bromley,age60,4188,skilledTrade,12787
Bromley,age60,4188,service,11212
Bromley,age60,4188,sales,8498
Bromley,age60,4188,manual,5867
Bromley,age60,4188,elementary,9152
Bromley,age61,3805,management,27845
Bromley,age61,3805,professional,43321
Bromley,age61,3805,technical,25707
Bromley,age61,3805,admin,17733
Bromley,age61,3805,skilledTrade,12787
Bromley,age61,3805,service,11212
Bromley,age61,3805,sales,8498
Bromley,age61,3805,manual,5867
Bromley,age61,3805,elementary,9152
Bromley,age62,3548,management,27845
Bromley,age62,3548,professional,43321
Bromley,age62,3548,technical,25707
Bromley,age62,3548,admin,17733
Bromley,age62,3548,skilledTrade,12787
Bromley,age62,3548,service,11212
Bromley,age62,3548,sales,8498
Bromley,age62,3548,manual,5867
Bromley,age62,3548,elementary,9152
Bromley,age63,3438,management,27845
Bromley,age63,3438,professional,43321
Bromley,age63,3438,technical,25707
Bromley,age63,3438,admin,17733
Bromley,age63,3438,skilledTrade,12787
Bromley,age63,3438,service,11212
Bromley,age63,3438,sales,8498
Bromley,age63,3438,manual,5867
Bromley,age63,3438,elementary,9152
Bromley,age64,3278,management,27845
Bromley,age64,3278,professional,43321
Bromley,age64,3278,technical,25707
Bromley,age64,3278,admin,17733
Bromley,age64,3278,skilledTrade,12787
Bromley,age64,3278,service,11212
Bromley,age64,3278,sales,8498
Bromley,age64,3278,manual,5867
Bromley,age64,3278,elementary,9152
Camden,age16,2195,management,18247
Camden,age16,2195,professional,35269
Camden,age16,2195,technical,19193
Camden,age16,2195,admin,6330
Camden,age16,2195,skilledTrade,3781
Camden,age16,2195,service,6279
Camden,age16,2195,sales,5152
Camden,age16,2195,manual,2963
Camden,age16,2195,elementary,5299
Camden,age17,2086,management,18247
Camden,age17,2086,professional,35269
Camden,age17,2086,technical,19193
Camden,age17,2086,admin,6330
Camden,age17,2086,skilledTrade,3781
Camden,age17,2086,service,6279
Camden,age17,2086,sales,5152
Camden,age17,2086,manual,2963
Camden,age17,2086,elementary,5299
Camden,age18,3228,management,18247
Camden,age18,3228,professional,35269
Camden,age18,3228,technical,19193
Camden,age18,3228,admin,6330
Camden,age18,3228,skilledTrade,3781
Camden,age18,3228,service,6279
Camden,age18,3228,sales,5152
Camden,age18,3228,manual,2963
Camden,age18,3228,elementary,5299
Camden,age19,4299,management,18247
Camden,age19,4299,professional,35269
Camden,age19,4299,technical,19193
Camden,age19,4299,admin,6330
Camden,age19,4299,skilledTrade,3781
Camden,age19,4299,service,6279
Camden,age19,4299,sales,5152
Camden,age19,4299,manual,2963
Camden,age19,4299,elementary,5299
Camden,age20,4175,management,18247
Camden,age20,4175,professional,35269
Camden,age20,4175,technical,19193
Camden,age20,4175,admin,6330
Camden,age20,4175,skilledTrade,3781
Camden,age20,4175,service,6279
Camden,age20,4175,sales,5152
Camden,age20,4175,manual,2963
Camden,age20,4175,elementary,5299
Camden,age21,3890,management,18247
Camden,age21,3890,professional,35269
Camden,age21,3890,technical,19193
Camden,age21,3890,admin,6330
Camden,age21,3890,skilledTrade,3781
Camden,age21,3890,service,6279
Camden,age21,3890,sales,5152
Camden,age21,3890,manual,2963
Camden,age21,3890,elementary,5299
Camden,age22,3801,management,18247
Camden,age22,3801,professional,35269
Camden,age22,3801,technical,19193
Camden,age22,3801,admin,6330
Camden,age22,3801,skilledTrade,3781
Camden,age22,3801,service,6279
Camden,age22,3801,sales,5152
Camden,age22,3801,manual,2963
Camden,age22,3801,elementary,5299
Camden,age23,4108,management,18247
Camden,age23,4108,professional,35269
Camden,age23,4108,technical,19193
Camden,age23,4108,admin,6330
Camden,age23,4108,skilledTrade,3781
Camden,age23,4108,service,6279
Camden,age23,4108,sales,5152
Camden,age23,4108,manual,2963
Camden,age23,4108,elementary,5299
Camden,age24,4191,management,18247
Camden,age24,4191,professional,35269
Camden,age24,4191,technical,19193
Camden,age24,4191,admin,6330
Camden,age24,4191,skilledTrade,3781
Camden,age24,4191,service,6279
Camden,age24,4191,sales,5152
Camden,age24,4191,manual,2963
Camden,age24,4191,elementary,5299
Camden,age25,4301,management,18247
Camden,age25,4301,professional,35269
Camden,age25,4301,technical,19193
Camden,age25,4301,admin,6330
Camden,age25,4301,skilledTrade,3781
Camden,age25,4301,service,6279
Camden,age25,4301,sales,5152
Camden,age25,4301,manual,2963
Camden,age25,4301,elementary,5299
Camden,age26,4482,management,18247
Camden,age26,4482,professional,35269
Camden,age26,4482,technical,19193
Camden,age26,4482,admin,6330
Camden,age26,4482,skilledTrade,3781
Camden,age26,4482,service,6279
Camden,age26,4482,sales,5152
Camden,age26,4482,manual,2963
Camden,age26,4482,elementary,5299
Camden,age27,4508,management,18247
Camden,age27,4508,professional,35269
Camden,age27,4508,technical,19193
Camden,age27,4508,admin,6330
Camden,age27,4508,skilledTrade,3781
Camden,age27,4508,service,6279
Camden,age27,4508,sales,5152
Camden,age27,4508,manual,2963
Camden,age27,4508,elementary,5299
Camden,age28,4366,management,18247
Camden,age28,4366,professional,35269
Camden,age28,4366,technical,19193
Camden,age28,4366,admin,6330
Camden,age28,4366,skilledTrade,3781
Camden,age28,4366,service,6279
Camden,age28,4366,sales,5152
Camden,age28,4366,manual,2963
Camden,age28,4366,elementary,5299
Camden,age29,4345,management,18247
Camden,age29,4345,professional,35269
Camden,age29,4345,technical,19193
Camden,age29,4345,admin,6330
Camden,age29,4345,skilledTrade,3781
Camden,age29,4345,service,6279
Camden,age29,4345,sales,5152
Camden,age29,4345,manual,2963
Camden,age29,4345,elementary,5299
Camden,age30,4263,management,18247
Camden,age30,4263,professional,35269
Camden,age30,4263,technical,19193
Camden,age30,4263,admin,6330
Camden,age30,4263,skilledTrade,3781
Camden,age30,4263,service,6279
Camden,age30,4263,sales,5152
Camden,age30,4263,manual,2963
Camden,age30,4263,elementary,5299
Camden,age31,4396,management,18247
Camden,age31,4396,professional,35269
Camden,age31,4396,technical,19193
Camden,age31,4396,admin,6330
Camden,age31,4396,skilledTrade,3781
Camden,age31,4396,service,6279
Camden,age31,4396,sales,5152
Camden,age31,4396,manual,2963
Camden,age31,4396,elementary,5299
Camden,age32,4230,management,18247
Camden,age32,4230,professional,35269
Camden,age32,4230,technical,19193
Camden,age32,4230,admin,6330
Camden,age32,4230,skilledTrade,3781
Camden,age32,4230,service,6279
Camden,age32,4230,sales,5152
Camden,age32,4230,manual,2963
Camden,age32,4230,elementary,5299
Camden,age33,3896,management,18247
Camden,age33,3896,professional,35269
Camden,age33,3896,technical,19193
Camden,age33,3896,admin,6330
Camden,age33,3896,skilledTrade,3781
Camden,age33,3896,service,6279
Camden,age33,3896,sales,5152
Camden,age33,3896,manual,2963
Camden,age33,3896,elementary,5299
Camden,age34,3756,management,18247
Camden,age34,3756,professional,35269
Camden,age34,3756,technical,19193
Camden,age34,3756,admin,6330
Camden,age34,3756,skilledTrade,3781
Camden,age34,3756,service,6279
