boroughs,age,ageValue,occupation,occupationValue
City of London,age40,113,management,1104
City of London,age40,113,professional,2349
City of London,age40,113,technical,1027
City of London,age40,113,admin,267
City of London,age40,113,skilledTrade,97
City of London,age40,113,service,152
City of London,age40,113,sales,122
City of London,age40,113,manual,50
City of London,age40,113,elementary,178
City of London,age41,108,management,1104
City of London,age41,108,professional,2349
City of London,age41,108,technical,1027
City of London,age41,108,admin,267
City of London,age41,108,skilledTrade,97
City of London,age41,108,service,152
City of London,age41,108,sales,122
City of London,age41,108,manual,50
City of London,age41,108,elementary,178
City of London,age42,103,management,1104
City of London,age42,103,professional,2349
City of London,age42,103,technical,1027
City of London,age42,103,admin,267
City of London,age42,103,skilledTrade,97
City of London,age42,103,service,152
City of London,age42,103,sales,122
City of London,age42,103,manual,50
City of London,age42,103,elementary,178
City of London,age43,117,management,1104
City of London,age43,117,professional,2349
City of London,age43,117,technical,1027
City of London,age43,117,admin,267
City of London,age43,117,skilledTrade,97
City of London,age43,117,service,152
City of London,age43,117,sales,122
City of London,age43,117,manual,50
City of London,age43,117,elementary,178
City of London,age44,106,management,1104
City of London,age44,106,professional,2349
City of London,age44,106,technical,1027
City of London,age44,106,admin,267
City of London,age44,106,skilledTrade,97
City of London,age44,106,service,152
City of London,age44,106,sales,122
City of London,age44,106,manual,50
City of London,age44,106,elementary,178
City of London,age45,108,management,1104
City of London,age45,108,professional,2349
City of London,age45,108,technical,1027
City of London,age45,108,admin,267
City of London,age45,108,skilledTrade,97
City of London,age45,108,service,152
City of London,age45,108,sales,122
City of London,age45,108,manual,50
City of London,age45,108,elementary,178
City of London,age46,96,management,1104
City of London,age46,96,professional,2349
City of London,age46,96,technical,1027
City of London,age46,96,admin,267
City of London,age46,96,skilledTrade,97
City of London,age46,96,service,152
City of London,age46,96,sales,122
City of London,age46,96,manual,50
City of London,age46,96,elementary,178
City of London,age47,107,management,1104
City of London,age47,107,professional,2349
City of London,age47,107,technical,1027
City of London,age47,107,admin,267
City of London,age47,107,skilledTrade,97
City of London,age47,107,service,152
City of London,age47,107,sales,122
City of London,age47,107,manual,50
City of London,age47,107,elementary,178
City of London,age48,100,management,1104
City of London,age48,100,professional,2349
City of London,age48,100,technical,1027
City of London,age48,100,admin,267
City of London,age48,100,skilledTrade,97
City of London,age48,100,service,152
City of London,age48,100,sales,122
City of London,age48,100,manual,50
City of London,age48,100,elementary,178
City of London,age49,133,management,1104
City of London,age49,133,professional,2349
City of London,age49,133,technical,1027
City of London,age49,133,admin,267
City of London,age49,133,skilledTrade,97
City of London,age49,133,service,152
City of London,age49,133,sales,122
City of London,age49,133,manual,50
City of London,age49,133,elementary,178
City of London,age50,123,management,1104
City of London,age50,123,professional,2349
City of London,age50,123,technical,1027
City of London,age50,123,admin,267
City of London,age50,123,skilledTrade,97
City of London,age50,123,service,152
City of London,age50,123,sales,122
City of London,age50,123,manual,50
City of London,age50,123,elementary,178
City of London,age51,138,management,1104
City of London,age51,138,professional,2349
City of London,age51,138,technical,1027
City of London,age51,138,admin,267
City of London,age51,138,skilledTrade,97
City of London,age51,138,service,152
City of London,age51,138,sales,122
City of London,age51,138,manual,50
City of London,age51,138,elementary,178
City of London,age52,142,management,1104
City of London,age52,142,professional,2349
City of London,age52,142,technical,1027
City of London,age52,142,admin,267
City of London,age52,142,skilledTrade,97
City of London,age52,142,service,152
City of London,age52,142,sales,122
City of London,age52,142,manual,50
City of London,age52,142,elementary,178
City of London,age53,141,management,1104
City of London,age53,141,professional,2349
City of London,age53,141,technical,1027
City of London,age53,141,admin,267
City of London,age53,141,skilledTrade,97
City of London,age53,141,service,152
City of London,age53,141,sales,122
City of London,age53,141,manual,50
City of London,age53,141,elementary,178
City of London,age54,96,management,1104
City of London,age54,96,professional,2349
City of London,age54,96,technical,1027
City of London,age54,96,admin,267
City of London,age54,96,skilledTrade,97
City of London,age54,96,service,152
City of London,age54,96,sales,122
City of London,age54,96,manual,50
City of London,age54,96,elementary,178
City of London,age55,113,management,1104
City of London,age55,113,professional,2349
City of London,age55,113,technical,1027
City of London,age55,113,admin,267
City of London,age55,113,skilledTrade,97
City of London,age55,113,service,152
City of London,age55,113,sales,122
City of London,age55,113,manual,50
City of London,age55,113,elementary,178
City of London,age56,98,management,1104
City of London,age56,98,professional,2349
City of London,age56,98,technical,1027
City of London,age56,98,admin,267
City of London,age56,98,skilledTrade,97
City of London,age56,98,service,152
City of London,age56,98,sales,122
City of London,age56,98,manual,50
City of London,age56,98,elementary,178
City of London,age57,111,management,1104
City of London,age57,111,professional,2349
City of London,age57,111,technical,1027
City of London,age57,111,admin,267
City of London,age57,111,skilledTrade,97
City of London,age57,111,service,152
City of London,age57,111,sales,122
City of London,age57,111,manual,50
City of London,age57,111,elementary,178
City of London,age58,98,management,1104
City of London,age58,98,professional,2349
City of London,age58,98,technical,1027
City of London,age58,98,admin,267
City of London,age58,98,skilledTrade,97
City of London,age58,98,service,152
City of London,age58,98,sales,122
City of London,age58,98,manual,50
City of London,age58,98,elementary,178
City of London,age59,98,management,1104
City of London,age59,98,professional,2349
City of London,age59,98,technical,1027
City of London,age59,98,admin,267
City of London,age59,98,skilledTrade,97
City of London,age59,98,service,152
City of London,age59,98,sales,122
City of London,age59,98,manual,50
City of London,age59,98,elementary,178
City of London,age60,103,management,1104
City of London,age60,103,professional,2349
City of London,age60,103,technical,1027
City of London,age60,103,admin,267
City of London,age60,103,skilledTrade,97
City of London,age60,103,service,152
City of London,age60,103,sales,122
City of London,age60,103,manual,50
City of London,age60,103,elementary,178
City of London,age61,95,management,1104
City of London,age61,95,professional,2349
City of London,age61,95,technical,1027
City of London,age61,95,admin,267
City of London,age61,95,skilledTrade,97
City of London,age61,95,service,152
City of London,age61,95,sales,122
City of London,age61,95,manual,50
City of London,age61,95,elementary,178
City of London,age62,84,management,1104
City of London,age62,84,professional,2349
City of London,age62,84,technical,1027
City of London,age62,84,admin,267
City of London,age62,84,skilledTrade,97
City of London,age62,84,service,152
City of London,age62,84,sales,122
City of London,age62,84,manual,50
City of London,age62,84,elementary,178
City of London,age63,100,management,1104
City of London,age63,100,professional,2349
City of London,age63,100,technical,1027
City of London,age63,100,admin,267
City of London,age63,100,skilledTrade,97
City of London,age63,100,service,152
City of London,age63,100,sales,122
City of London,age63,100,manual,50
City of London,age63,100,elementary,178
City of London,age64,77,management,1104
City of London,age64,77,professional,2349
City of London,age64,77,technical,1027
City of London,age64,77,admin,267
City of London,age64,77,skilledTrade,97
City of London,age64,77,service,152
City of London,age64,77,sales,122
City of London,age64,77,manual,50
City of London,age64,77,elementary,178
Barking and Dagenham,age16,3321,management,7786
Barking and Dagenham,age16,3321,professional,15185
Barking and Dagenham,age16,3321,technical,9279
Barking and Dagenham,age16,3321,admin,8798
Barking and Dagenham,age16,3321,skilledTrade,10957
Barking and Dagenham,age16,3321,service,10934
Barking and Dagenham,age16,3321,sales,7686
Barking and Dagenham,age16,3321,manual,8964
Barking and Dagenham,age16,3321,elementary,15000
Barking and Dagenham,age17,3061,management,7786
Barking and Dagenham,age17,3061,professional,15185
Barking and Dagenham,age17,3061,technical,9279
Barking and Dagenham,age17,3061,admin,8798
Barking and Dagenham,age17,3061,skilledTrade,10957
Barking and Dagenham,age17,3061,service,10934
Barking and Dagenham,age17,3061,sales,7686
Barking and Dagenham,age17,3061,manual,8964
Barking and Dagenham,age17,3061,elementary,15000
Barking and Dagenham,age18,2956,management,7786
Barking and Dagenham,age18,2956,professional,15185
Barking and Dagenham,age18,2956,technical,9279
Barking and Dagenham,age18,2956,admin,8798
Barking and Dagenham,age18,2956,skilledTrade,10957
Barking and Dagenham,age18,2956,service,10934
Barking and Dagenham,age18,2956,sales,7686
Barking and Dagenham,age18,2956,manual,8964
Barking and Dagenham,age18,2956,elementary,15000
Barking and Dagenham,age19,2472,management,7786
Barking and Dagenham,age19,2472,professional,15185
Barking and Dagenham,age19,2472,technical,9279
Barking and Dagenham,age19,2472,admin,8798
Barking and Dagenham,age19,2472,skilledTrade,10957
Barking and Dagenham,age19,2472,service,10934
Barking and Dagenham,age19,2472,sales,7686
Barking and Dagenham,age19,2472,manual,8964
Barking and Dagenham,age19,2472,elementary,15000
Barking and Dagenham,age20,2393,management,7786
Barking and Dagenham,age20,2393,professional,15185
Barking and Dagenham,age20,2393,technical,9279
Barking and Dagenham,age20,2393,admin,8798
Barking and Dagenham,age20,2393,skilledTrade,10957
Barking and Dagenham,age20,2393,service,10934
Barking and Dagenham,age20,2393,sales,7686
Barking and Dagenham,age20,2393,manual,8964
Barking and Dagenham,age20,2393,elementary,15000
Barking and Dagenham,age21,2405,management,7786
Barking and Dagenham,age21,2405,professional,15185
Barking and Dagenham,age21,2405,technical,9279
Barking and Dagenham,age21,2405,admin,8798
Barking and Dagenham,age21,2405,skilledTrade,10957
Barking and Dagenham,age21,2405,service,10934
Barking and Dagenham,age21,2405,sales,7686
Barking and Dagenham,age21,2405,manual,8964
Barking and Dagenham,age21,2405,elementary,15000
Barking and Dagenham,age22,2702,management,7786
Barking and Dagenham,age22,2702,professional,15185
Barking and Dagenham,age22,2702,technical,9279
Barking and Dagenham,age22,2702,admin,8798
Barking and Dagenham,age22,2702,skilledTrade,10957
Barking and Dagenham,age22,2702,service,10934
Barking and Dagenham,age22,2702,sales,7686
Barking and Dagenham,age22,2702,manual,8964
Barking and Dagenham,age22,2702,elementary,15000
Barking and Dagenham,age23,2846,management,7786
Barking and Dagenham,age23,2846,professional,15185
Barking and Dagenham,age23,2846,technical,9279
Barking and Dagenham,age23,2846,admin,8798
Barking and Dagenham,age23,2846,skilledTrade,10957
Barking and Dagenham,age23,2846,service,10934
Barking and Dagenham,age23,2846,sales,7686
Barking and Dagenham,age23,2846,manual,8964
Barking and Dagenham,age23,2846,elementary,15000
Barking and Dagenham,age24,2894,management,7786
Barking and Dagenham,age24,2894,professional,15185
Barking and Dagenham,age24,2894,technical,9279
Barking and Dagenham,age24,2894,admin,8798
Barking and Dagenham,age24,2894,skilledTrade,10957
Barking and Dagenham,age24,2894,service,10934
Barking and Dagenham,age24,2894,sales,7686
Barking and Dagenham,age24,2894,manual,8964
Barking and Dagenham,age24,2894,elementary,15000
Barking and Dagenham,age25,2919,management,7786
Barking and Dagenham,age25,2919,professional,15185
Barking and Dagenham,age25,2919,technical,9279
Barking and Dagenham,age25,2919,admin,8798
Barking and Dagenham,age25,2919,skilledTrade,10957
Barking and Dagenham,age25,2919,service,10934
Barking and Dagenham,age25,2919,sales,7686
Barking and Dagenham,age25,2919,manual,8964
Barking and Dagenham,age25,2919,elementary,15000
Barking and Dagenham,age26,3001,management,7786
Barking and Dagenham,age26,3001,professional,15185
Barking and Dagenham,age26,3001,technical,9279
Barking and Dagenham,age26,3001,admin,8798
Barking and Dagenham,age26,3001,skilledTrade,10957
Barking and Dagenham,age26,3001,service,10934
Barking and Dagenham,age26,3001,sales,7686
Barking and Dagenham,age26,3001,manual,8964
Barking and Dagenham,age26,3001,elementary,15000
Barking and Dagenham,age27,2969,management,7786
Barking and Dagenham,age27,2969,professional,15185
Barking and Dagenham,age27,2969,technical,9279
Barking and Dagenham,age27,2969,admin,8798
Barking and Dagenham,age27,2969,skilledTrade,10957
Barking and Dagenham,age27,2969,service,10934
Barking and Dagenham,age27,2969,sales,7686
Barking and Dagenham,age27,2969,manual,8964
Barking and Dagenham,age27,2969,elementary,15000
Barking and Dagenham,age28,3163,management,7786
Barking and Dagenham,age28,3163,professional,15185
Barking and Dagenham,age28,3163,technical,9279
Barking and Dagenham,age28,3163,admin,8798
Barking and Dagenham,age28,3163,skilledTrade,10957
Barking and Dagenham,age28,3163,service,10934
Barking and Dagenham,age28,3163,sales,7686
Barking and Dagenham,age28,3163,manual,8964
Barking and Dagenham,age28,3163,elementary,15000
Barking and Dagenham,age29,3164,management,7786
Barking and Dagenham,age29,3164,professional,15185
Barking and Dagenham,age29,3164,technical,9279
Barking and Dagenham,age29,3164,admin,8798
Barking and Dagenham,age29,3164,skilledTrade,10957
Barking and Dagenham,age29,3164,service,10934
Barking and Dagenham,age29,3164,sales,7686
Barking and Dagenham,age29,3164,manual,8964
Barking and Dagenham,age29,3164,elementary,15000
Barking and Dagenham,age30,3252,management,7786
Barking and Dagenham,age30,3252,professional,15185
Barking and Dagenham,age30,3252,technical,9279
Barking and Dagenham,age30,3252,admin,8798
Barking and Dagenham,age30,3252,skilledTrade,10957
Barking and Dagenham,age30,3252,service,10934
Barking and Dagenham,age30,3252,sales,7686
Barking and Dagenham,age30,3252,manual,8964
Barking and Dagenham,age30,3252,elementary,15000
Barking and Dagenham,age31,3550,management,7786
Barking and Dagenham,age31,3550,professional,15185
Barking and Dagenham,age31,3550,technical,9279
Barking and Dagenham,age31,3550,admin,8798
Barking and Dagenham,age31,3550,skilledTrade,10957
Barking and Dagenham,age31,3550,service,10934
Barking and Dagenham,age31,3550,sales,7686
Barking and Dagenham,age31,3550,manual,8964
Barking and Dagenham,age31,3550,elementary,15000
Barking and Dagenham,age32,3748,management,7786
Barking and Dagenham,age32,3748,professional,15185
Barking and Dagenham,age32,3748,technical,9279
Barking and Dagenham,age32,3748,admin,8798
Barking and Dagenham,age32,3748,skilledTrade,10957
Barking and Dagenham,age32,3748,service,10934
Barking and Dagenham,age32,3748,sales,7686
Barking and Dagenham,age32,3748,manual,8964
Barking and Dagenham,age32,3748,elementary,15000
Barking and Dagenham,age33,3768,management,7786
Barking and Dagenham,age33,3768,professional,15185
Barking and Dagenham,age33,3768,technical,9279
Barking and Dagenham,age33,3768,admin,8798
Barking and Dagenham,age33,3768,skilledTrade,10957
Barking and Dagenham,age33,3768,service,10934
Barking and Dagenham,age33,3768,sales,7686
Barking and Dagenham,age33,3768,manual,8964
Barking and Dagenham,age33,3768,elementary,15000
Barking and Dagenham,age34,3737,management,7786
Barking and Dagenham,age34,3737,professional,15185
Barking and Dagenham,age34,3737,technical,9279
Barking and Dagenham,age34,3737,admin,8798
Barking and Dagenham,age34,3737,skilledTrade,10957
Barking and Dagenham,age34,3737,service,10934
Barking and Dagenham,age34,3737,sales,7686
Barking and Dagenham,age34,3737,manual,8964
Barking and Dagenham,age34,3737,elementary,15000
Barking and Dagenham,age35,3772,management,7786
Barking and Dagenham,age35,3772,professional,15185
Barking and Dagenham,age35,3772,technical,9279
Barking and Dagenham,age35,3772,admin,8798
Barking and Dagenham,age35,3772,skilledTrade,10957
Barking and Dagenham,age35,3772,service,10934
Barking and Dagenham,age35,3772,sales,7686
Barking and Dagenham,age35,3772,manual,8964
Barking and Dagenham,age35,3772,elementary,15000
Barking and Dagenham,age36,3869,management,7786
Barking and Dagenham,age36,3869,professional,15185
Barking and Dagenham,age36,3869,technical,9279
Barking and Dagenham,age36,3869,admin,8798
Barking and Dagenham,age36,3869,skilledTrade,10957
Barking and Dagenham,age36,3869,service,10934
Barking and Dagenham,age36,3869,sales,7686
Barking and Dagenham,age36,3869,manual,8964
Barking and Dagenham,age36,3869,elementary,15000
Barking and Dagenham,age37,3667,management,7786
Barking and Dagenham,age37,3667,professional,15185
Barking and Dagenham,age37,3667,technical,9279
Barking and Dagenham,age37,3667,admin,8798
Barking and Dagenham,age37,3667,skilledTrade,10957
Barking and Dagenham,age37,3667,service,10934
Barking and Dagenham,age37,3667,sales,7686
Barking and Dagenham,age37,3667,manual,8964
Barking and Dagenham,age37,3667,elementary,15000
Barking and Dagenham,age38,3758,management,7786
Barking and Dagenham,age38,3758,professional,15185
Barking and Dagenham,age38,3758,technical,9279
Barking and Dagenham,age38,3758,admin,8798
Barking and Dagenham,age38,3758,skilledTrade,10957
Barking and Dagenham,age38,3758,service,10934
Barking and Dagenham,age38,3758,sales,7686
Barking and Dagenham,age38,3758,manual,8964
Barking and Dagenham,age38,3758,elementary,15000
Barking and Dagenham,age39,3572,management,7786
Barking and Dagenham,age39,3572,professional,15185
Barking and Dagenham,age39,3572,technical,9279
Barking and Dagenham,age39,3572,admin,8798
Barking and Dagenham,age39,3572,skilledTrade,10957
Barking and Dagenham,age39,3572,service,10934
Barking and Dagenham,age39,3572,sales,7686
Barking and Dagenham,age39,3572,manual,8964
Barking and Dagenham,age39,3572,elementary,15000
Barking and Dagenham,age40,3770,management,7786
Barking and Dagenham,age40,3770,professional,15185
Barking and Dagenham,age40,3770,technical,9279
Barking and Dagenham,age40,3770,admin,8798
Barking and Dagenham,age40,3770,skilledTrade,10957
Barking and Dagenham,age40,3770,service,10934
Barking and Dagenham,age40,3770,sales,7686
Barking and Dagenham,age40,3770,manual,8964
Barking and Dagenham,age40,3770,elementary,15000
Barking and Dagenham,age41,3487,management,7786
Barking and Dagenham,age41,3487,professional,15185
Barking and Dagenham,age41,3487,technical,9279
Barking and Dagenham,age41,3487,admin,8798
Barking and Dagenham,age41,3487,skilledTrade,10957
Barking and Dagenham,age41,3487,service,10934
Barking and Dagenham,age41,3487,sales,7686
Barking and Dagenham,age41,3487,manual,8964
Barking and Dagenham,age41,3487,elementary,15000
Barking and Dagenham,age42,3524,management,7786
Barking and Dagenham,age42,3524,professional,15185
Barking and Dagenham,age42,3524,technical,9279
Barking and Dagenham,age42,3524,admin,8798
Barking and Dagenham,age42,3524,skilledTrade,10957
Barking and Dagenham,age42,3524,service,10934
Barking and Dagenham,age42,3524,sales,7686
Barking and Dagenham,age42,3524,manual,8964
Barking and Dagenham,age42,3524,elementary,15000
Barking and Dagenham,age43,3141,management,7786
Barking and Dagenham,age43,3141,professional,15185
Barking and Dagenham,age43,3141,technical,9279
Barking and Dagenham,age43,3141,admin,8798
Barking and Dagenham,age43,3141,skilledTrade,10957
Barking and Dagenham,age43,3141,service,10934
Barking and Dagenham,age43,3141,sales,7686
Barking and Dagenham,age43,3141,manual,8964
Barking and Dagenham,age43,3141,elementary,15000
Barking and Dagenham,age44,3151,management,7786
Barking and Dagenham,age44,3151,professional,15185
Barking and Dagenham,age44,3151,technical,9279
Barking and Dagenham,age44,3151,admin,8798
Barking and Dagenham,age44,3151,skilledTrade,10957
Barking and Dagenham,age44,3151,service,10934
Barking and Dagenham,age44,3151,sales,7686
Barking and Dagenham,age44,3151,manual,8964
Barking and Dagenham,age44,3151,elementary,15000
Barking and Dagenham,age45,3101,management,7786
Barking and Dagenham,age45,3101,professional,15185
Barking and Dagenham,age45,3101,technical,9279
Barking and Dagenham,age45,3101,admin,8798
Barking and Dagenham,age45,3101,skilledTrade,10957
Barking and Dagenham,age45,3101,service,10934
Barking and Dagenham,age45,3101,sales,7686
Barking and Dagenham,age45,3101,manual,8964
Barking and Dagenham,age45,3101,elementary,15000
Barking and Dagenham,age46,3109,management,7786
Barking and Dagenham,age46,3109,professional,15185
Barking and Dagenham,age46,3109,technical,9279
Barking and Dagenham,age46,3109,admin,8798
Barking and Dagenham,age46,3109,skilledTrade,10957
Barking and Dagenham,age46,3109,service,10934
Barking and Dagenham,age46,3109,sales,7686
Barking and Dagenham,age46,3109,manual,8964
Barking and Dagenham,age46,3109,elementary,15000
Barking and Dagenham,age47,3031,management,7786
Barking and Dagenham,age47,3031,professional,15185
Barking and Dagenham,age47,3031,technical,9279
Barking and Dagenham,age47,3031,admin,8798
Barking and Dagenham,age47,3031,skilledTrade,10957
Barking and Dagenham,age47,3031,service,10934
Barking and Dagenham,age47,3031,sales,7686
Barking and Dagenham,age47,3031,manual,8964
Barking and Dagenham,age47,3031,elementary,15000
Barking and Dagenham,age48,2807,management,7786
Barking and Dagenham,age48,2807,professional,15185
Barking and Dagenham,age48,2807,technical,9279
Barking and Dagenham,age48,2807,admin,8798
