code,category,value
E14000558,N/A,49058
E14000558,management,5554
E14000558,professional,9083
E14000558,technical,6110
E14000558,admin,5921
E14000558,skilledTrade,4833
E14000558,service,3855
E14000558,sales,3379
E14000558,manual,2864
E14000558,elementary,3957
E14000559,N/A,52197
E14000559,management,3613
E14000559,professional,6268
E14000559,technical,4373
E14000559,admin,3672
E14000559,skilledTrade,3849
E14000559,service,5043
E14000559,sales,3544
E14000559,manual,3143
E14000559,elementary,4575
E14000560,N/A,59066
E14000560,management,4613
E14000560,professional,12620
E14000560,technical,4893
E14000560,admin,3456
E14000560,skilledTrade,2650
E14000560,service,3832
E14000560,sales,2517
E14000560,manual,2294
E14000560,elementary,4184
E14000561,N/A,62753
E14000561,management,3213
E14000561,professional,6104
E14000561,technical,4387
E14000561,admin,3877
E14000561,skilledTrade,4058
E14000561,service,5017
E14000561,sales,3745
E14000561,manual,4653
E14000561,elementary,7050
E14000562,N/A,77699
E14000562,management,4248
E14000562,professional,10619
E14000562,technical,5236
E14000562,admin,3842
E14000562,skilledTrade,3141
E14000562,service,3992
E14000562,sales,3895
E14000562,manual,3937
E14000562,elementary,5304
E14000563,N/A,90869
E14000563,management,2483
E14000563,professional,5425
E14000563,technical,3311
E14000563,admin,3636
E14000563,skilledTrade,3592
E14000563,service,4862
E14000563,sales,4564
E14000563,manual,5999
E14000563,elementary,7632
E14000564,N/A,91878
E14000564,management,3966
E14000564,professional,11749
E14000564,technical,5845
E14000564,admin,3976
E14000564,skilledTrade,3287
E14000564,service,5000
E14000564,sales,4494
E14000564,manual,4283
E14000564,elementary,9582
E14000565,N/A,61805
E14000565,management,3875
E14000565,professional,8652
E14000565,technical,5216
E14000565,admin,4467
E14000565,skilledTrade,4652
E14000565,service,5556
E14000565,sales,3439
E14000565,manual,3194
E14000565,elementary,5037
E14000566,N/A,68650
E14000566,management,3338
E14000566,professional,7033
E14000566,technical,4712
E14000566,admin,4484
E14000566,skilledTrade,3989
E14000566,service,4856
E14000566,sales,3718
E14000566,manual,4748
E14000566,elementary,6912
E14000567,N/A,66160
E14000567,management,4156
E14000567,professional,11409
E14000567,technical,5609
E14000567,admin,4012
E14000567,skilledTrade,3574
E14000567,service,4283
E14000567,sales,3342
E14000567,manual,2637
E14000567,elementary,4427
E14000568,N/A,72123
E14000568,management,3521
E14000568,professional,6734
E14000568,technical,4587
E14000568,admin,4527
E14000568,skilledTrade,4539
E14000568,service,5029
E14000568,sales,4329
E14000568,manual,5067
E14000568,elementary,6507
E14000569,N/A,50967
E14000569,management,4130
E14000569,professional,5743
E14000569,technical,4556
E14000569,admin,3560
E14000569,skilledTrade,5330
E14000569,service,4135
E14000569,sales,3182
E14000569,manual,3625
E14000569,elementary,4683
E14000570,N/A,70303
E14000570,management,3526
E14000570,professional,7030
E14000570,technical,4282
E14000570,admin,4324
E14000570,skilledTrade,4360
E14000570,service,5189
E14000570,sales,4797
E14000570,manual,4939
E14000570,elementary,5644
E14000571,N/A,80006
E14000571,management,4267
E14000571,professional,8355
E14000571,technical,4762
E14000571,admin,4526
E14000571,skilledTrade,3895
E14000571,service,6270
E14000571,sales,4803
E14000571,manual,4080
E14000571,elementary,7946
E14000572,N/A,47945
E14000572,management,3520
E14000572,professional,5002
E14000572,technical,3780
E14000572,admin,4474
E14000572,skilledTrade,3801
E14000572,service,4665
E14000572,sales,3157
E14000572,manual,2631
E14000572,elementary,3899
E14000573,N/A,46766
E14000573,management,3735
E14000573,professional,4119
E14000573,technical,3418
E14000573,admin,3529
E14000573,skilledTrade,3743
E14000573,service,5144
E14000573,sales,3437
E14000573,manual,2751
E14000573,elementary,4358
E14000574,N/A,48243
E14000574,management,4369
E14000574,professional,7522
E14000574,technical,5320
E14000574,admin,4094
E14000574,skilledTrade,4169
E14000574,service,3849
E14000574,sales,3852
E14000574,manual,2990
E14000574,elementary,3610
E14000575,N/A,47202
E14000575,management,3726
E14000575,professional,6215
E14000575,technical,4939
E14000575,admin,4351
E14000575,skilledTrade,4248
E14000575,service,4230
E14000575,sales,3832
E14000575,manual,2908
E14000575,elementary,3684
E14000576,N/A,60230
E14000576,management,5906
E14000576,professional,6290
E14000576,technical,5297
E14000576,admin,4545
E14000576,skilledTrade,6544
E14000576,service,6216
E14000576,sales,4211
E14000576,manual,4415
E14000576,elementary,6497
E14000577,N/A,52845
E14000577,management,4902
E14000577,professional,6268
E14000577,technical,4928
E14000577,admin,4270
E14000577,skilledTrade,5862
E14000577,service,5394
E14000577,sales,3912
E14000577,manual,4750
E14000577,elementary,6847
E14000578,N/A,59327
E14000578,management,4378
E14000578,professional,6806
E14000578,technical,4990
E14000578,admin,3979
E14000578,skilledTrade,4205
E14000578,service,4267
E14000578,sales,4196
E14000578,manual,3825
E14000578,elementary,5111
E14000579,N/A,67399
E14000579,management,3694
E14000579,professional,5875
E14000579,technical,4543
E14000579,admin,4325
E14000579,skilledTrade,4520
E14000579,service,4802
E14000579,sales,4858
E14000579,manual,5082
E14000579,elementary,6310
E14000580,N/A,52556
E14000580,management,5854
E14000580,professional,9431
E14000580,technical,6377
E14000580,admin,4754
E14000580,skilledTrade,4749
E14000580,service,4142
E14000580,sales,3774
E14000580,manual,3176
E14000580,elementary,4294
E14000581,N/A,56175
E14000581,management,3841
E14000581,professional,6584
E14000581,technical,5338
E14000581,admin,5936
E14000581,skilledTrade,4455
E14000581,service,5292
E14000581,sales,4609
E14000581,manual,3849
E14000581,elementary,5303
E14000582,N/A,61106
E14000582,management,4767
E14000582,professional,4994
E14000582,technical,3641
E14000582,admin,3733
E14000582,skilledTrade,5749
E14000582,service,5250
E14000582,sales,4256
E14000582,manual,7610
E14000582,elementary,8383
E14000583,N/A,54228
E14000583,management,7334
E14000583,professional,9452
E14000583,technical,7017
E14000583,admin,5376
E14000583,skilledTrade,5975
E14000583,service,4536
E14000583,sales,3508
E14000583,manual,3872
E14000583,elementary,5531
E14000584,N/A,55119
E14000584,management,6509
E14000584,professional,10904
E14000584,technical,6637
E14000584,admin,4148
