code,category,value,areaName
W92000004,11,36774,Wales
W92000004,12,36785,Wales
W92000004,13,36778,Wales
W92000004,14,35317,Wales
W92000004,15,34365,Wales
W92000004,16,35251,Wales
W92000004,17,34284,Wales
W92000004,18,34584,Wales
W92000004,19,37286,Wales
W92000004,20,36918,Wales
W92000004,21,37800,Wales
W92000004,22,37853,Wales
W92000004,23,37409,Wales
W92000004,24,37695,Wales
W92000004,25,36043,Wales
W92000004,26,36675,Wales
W92000004,27,37239,Wales
W92000004,28,37670,Wales
W92000004,29,38833,Wales
W92000004,30,40035,Wales
W92000004,31,38646,Wales
W92000004,32,39242,Wales
W92000004,33,39341,Wales
W92000004,34,38950,Wales
W92000004,35,37940,Wales
W92000004,36,37855,Wales
W92000004,37,36837,Wales
W92000004,38,36862,Wales
W92000004,39,36737,Wales
W92000004,40,37767,Wales
W92000004,41,37161,Wales
W92000004,42,34610,Wales
W92000004,43,32685,Wales
W92000004,44,33128,Wales
W92000004,45,33716,Wales
W92000004,46,35269,Wales
W92000004,47,36325,Wales
W92000004,48,38994,Wales
W92000004,49,41773,Wales
W92000004,50,42781,Wales
W92000004,51,42252,Wales
W92000004,52,43587,Wales
W92000004,53,42985,Wales
W92000004,54,44075,Wales
W92000004,55,44656,Wales
W92000004,56,45647,Wales
W92000004,57,45163,Wales
W92000004,58,44244,Wales
W92000004,59,42962,Wales
W92000004,60,42011,Wales
W92000004,61,40572,Wales
W92000004,62,39940,Wales
W92000004,63,39334,Wales
W92000004,64,37749,Wales
W92000004,65,35673,Wales
W92000004,66,35679,Wales
W92000004,67,36439,Wales
W92000004,68,35417,Wales
W92000004,69,34433,Wales
W92000004,70,34832,Wales
W92000004,71,35370,Wales
W92000004,72,35810,Wales
W92000004,73,38255,Wales
W92000004,74,37069,Wales
W92000004,75,28188,Wales
W92000004,76,29490,Wales
W92000004,77,26707,Wales
W92000004,78,25347,Wales
W92000004,79,21765,Wales
W92000004,80,20159,Wales
W92000004,81,19078,Wales
W92000004,82,17940,Wales
W92000004,83,16589,Wales
W92000004,84,15228,Wales
W92000004,85,13443,Wales
W92000004,86,12036,Wales
W92000004,87,10265,Wales
W92000004,88,9237,Wales
W92000004,89,7877,Wales
W92000004,90,6792,Wales
W92000004,91,5524,Wales
W92000004,92,4410,Wales
W92000004,93,3468,Wales
W92000004,94,2700,Wales
W92000004,95,2101,Wales
W92000004,96,1567,Wales
W92000004,97,1078,Wales
W92000004,98,741,Wales
W92000004,99,536,Wales
W92000004,100,800,Wales
